logMass slope_0.5-2-Re error_slope_0.5-2-Re intercept_0.5-2-Re
9.126 0.011644012238230033 0.0016491716900285188 8.359909467340257
9.375 -0.047762559161765784 0.0013470944685685315 8.502512520775594
9.625 -0.052153896639010065 0.001360125055619711 8.617252739908452
9.875 -0.08320549783022192 0.001177133694079159 8.709540598630488
10.125 -0.12427905762033492 0.0009694441522114207 8.791749940700669
10.375 -0.10526083712519829 0.0005419168843256352 8.81995506359879
10.625 -0.08089943006458505 0.0004806707420793732 8.824202580328505
10.875 -0.06576751761269369 0.00024162009311819212 8.826541125371161
